Offer,Description,Eligible Credit Cards,Eligible Debit Cards
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Visa Celesta Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Visa Imperio Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Visa Crown Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Visa FedFirst Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Mastercard Celesta Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Mastercard Imperio Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Mastercard Crown Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Rupay Crown Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Rupay Platinum Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,RuPay PMJDY Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Visa Celesta Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Visa Imperio Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Visa Crown Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Visa FedFirst Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Mastercard Celesta Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Mastercard Imperio Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Mastercard Crown Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Rupay Crown Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal Rupay Platinum Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Mastercard Signet,Federal RuPay PMJDY Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Rupay Signet Credit Card,Visa Celesta Contactless Debit Card
FEDERAL_FRESH_10_MONDAY,Get 10% instant discount on Amazon Fresh when you pay with Federal Bank Credit/Debit Cards on select Mondays.,Federal Bank Rupay Signet Credit Card,Visa Imperio Contactless Debit Card
