Offer,Description,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,Bank of Baroda Premier Credit Card,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,BOB Assure Credit Card,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,Eterna Bobcard,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,Indian Navy Varunah Premium Bobcard,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,CMA One Bobcard,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,Bank of Baroda ETERNA Credit card,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,ICSI Diamond Bobcard,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,Bank of Baroda EASY Credit Card,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,ICAI Exclusive Bobcard,,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.300,"Get up to 10% off using BOBCARD Credit cards on orders above Rs.Rs.3000 (max discount Rs.Rs.300). Minimum order value must be Rs.Rs.3000 to get instant discount up to Rs.Rs.300. This voucher can be applied only once per customer and only once for Credit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",BOBCC,Assam Rifles The Sentinel Bobcard,,,,,,,,,,,,,,,,,,,,,,
