,Eligible Credit Cards,Credit Card Image,Grocery Benefits
1,RBL Bank Platinum LifeEasy MasterCard Credit Card,wix:image://v1/45c85e_821be5e1bebc43a5b97d524ac330f000~mv2.png/Screenshot%202025-03-19%20111104.png#originWidth=708&originHeight=469,Users will get 5% cashback on Grocery spends of up to INR 200 per month.
2,Samsung Axis Bank Infinite Credit Card,wix:image://v1/2a565f_1d141940d71f4e18bf61a45f7a4249db~mv2.jpg/sam.jpg#originWidth=282&originHeight=179,Cashback rate on BigBasket: 3%
3,Tata Star Titanium Card,wix:image://v1/2a565f_ece1d1a8eece4e1da5886db960ad6b8b~mv2.webp/tata-star-titanium-card.webp#originWidth=349&originHeight=218,Cashback rate on departmentals stores and grocery: 3%
4,IndianOil CITI Credit Card,wix:image://v1/2a565f_31d4d25e34844097a67039561e61139e~mv2.webp/IndianOil-Citi-Credit-Card.webp#originWidth=500&originHeight=317,Cashback rate on departmentals stores and grocery: 1.33%
5,Axis Bank Neo Credit Card,wix:image://v1/2a565f_e896fdbc79064918b8720d3e3d61b636~mv2.webp/axis-bank-neo-credit-card.webp#originWidth=250&originHeight=157,10% off on Blinkit
6,Federal Bank Visa Imperio,wix:image://v1/f836e8_d68be779084a4bf8b353665947a8b04c~mv2.webp/22463805.webp#originWidth=448&originHeight=256,Cashback rate on departmentals stores and grocery: 0.5%
7,Indian Coast Guard Rakshamah,https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fgcdhsw3c%2Frakshmah-card.png&w=640&q=75,Cashback rate on departmentals stores and grocery: 2.5%
8,RBL Bank Platinum LifeEasy Visa Credit Card,wix:image://v1/45c85e_821be5e1bebc43a5b97d524ac330f000~mv2.png/Screenshot%202025-03-19%20111104.png#originWidth=708&originHeight=469,Users will get 5% cashback on Grocery spends of up to INR 200 per month.
9,DBS Spark 20 Mastercard Credit Card ,https://static.bankbazaar.com/images/india/infographic/dbs-bank-spark-credit-card.webp,"4% Cashback on grocery on spending INR 20,000 or more on groceries. "
10,HDFC Bharat Credit Card,wix:image://v1/2a565f_7700d627b786422e807edc8fee3eee1a~mv2.webp/_thumb_216654.webp#originWidth=264&originHeight=167,5% monthly cashback on spends on groceries.
