Offer,Description,Eligible Credit Cards,Eligible Debit Cards
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank MagniFi Credit Card,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank Scapia Credit Card,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank Mastercard Signet,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank AmpliFi Credit Card,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank Rupay Signet Credit Card,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank Visa Celesta,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank Visa Imperio,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Federal Bank Rupay Wave Credit Card,
Get 10% discount using Federal Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid once per user per month. Applicable from Friday to Sunday.",Fed Starbiz Rupay Credit Card,
,,,
Get 15% discount using Punjab National Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid only on Punjab National Bank Credit Cards. Applicable once per user per month.",PNB Rupay Select Card,
Get 15% discount using Punjab National Bank Credit Cards,"As per regulatory & manufacturer policies, certain items in the tobacco, infant food, ghee, milk, butter & probiotic drinks categories are excluded from coupon discounts. Valid only on Punjab National Bank Credit Cards. Applicable once per user per month.",PNB Rupay Millennial Card,
